country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share

India,1858,IND,243455595,,,,0.395,,,0.002,,,0.395,0.002,,,,,0.395,0.395,,,,,,,,,,,,,,,,,,,,,,,0.140,0.140,,0.010,0.010,,,,,,,,,,,,
India,1859,IND,244429232,,,,0.637,0.242,61.340,0.003,,,0.637,0.003,,,,,1.032,1.032,,,,,,,,,,,,,,,,,,,,,,,0.210,0.210,,0.010,0.010,,,,,,,,,,,,
India,1860,IND,245406706,,,,0.644,0.007,1.040,0.003,,,0.644,0.003,,,,,1.676,1.676,,,,,,,,,,,,,,,,,,,,,,,0.190,0.190,,0.020,0.020,,,,,,,,,,,,
India,1861,IND,246388032,219618557952.000,,,0.498,-0.146,-22.680,0.002,0.002,,0.498,0.002,,,,,2.174,2.174,,,,,,,,,,,,,,,,,,,,,,,0.140,0.140,,0.030,0.030,,,,,,,,,,,,
India,1862,IND,247373226,,,,0.551,0.053,10.670,0.002,,,0.551,0.002,,,,,2.726,2.726,,,,,,,,,,,,,,,,,,,,,,,0.160,0.160,,0.030,0.030,,,,,,,,,,,,
India,1863,IND,248362301,,,,0.611,0.060,10.840,0.002,,,0.611,0.002,,,,,3.336,3.336,,,,,,,,,,,,,,,,,,,,,,,0.160,0.160,,0.040,0.040,,,,,,,,,,,,
India,1864,IND,249355276,,,,0.578,-0.033,-5.430,0.002,,,0.578,0.002,,,,,3.914,3.914,,,,,,,,,,,,,,,,,,,,,,,0.140,0.140,,0.040,0.040,,,,,,,,,,,,
India,1865,IND,250352166,,,,0.568,-0.010,-1.720,0.002,,,0.568,0.002,,,,,4.482,4.482,,,,,,,,,,,,,,,,,,,,,,,0.130,0.130,,0.050,0.050,,,,,,,,,,,,
India,1866,IND,251352986,,,,0.641,0.073,12.870,0.002,,,0.641,0.002,,,,,5.122,5.122,,,,,,,,,,,,,,,,,,,,,,,0.140,0.140,,0.050,0.050,,,,,,,,,,,,
